City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Hobyo,SO,77.22,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
23,Georgetown,MY,88.0,few clouds,5.4112,100.3354,Cititel Penang
25,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
30,Kavieng,PG,84.13,moderate rain,-2.5744,150.7967,Nusa Island Retreat
32,New Norfolk,AU,75.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
38,Rikitea,PF,78.6,broken clouds,-23.1203,-134.9692,Pension Maro'i
41,Moerai,PF,78.75,scattered clouds,-22.4333,-151.3333,Le Manotel
64,Arraial Do Cabo,BR,75.51,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
73,Dingle,PH,78.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
79,Semporna,MY,86.0,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
82,Umm Lajj,SA,77.29,clear sky,25.0213,37.2685,Moon light Furnished Units
86,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Butaritari,KI,81.21,broken clouds,3.0707,172.7902,Isles Sunset Lodge
89,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
100,Carutapera,BR,78.13,scattered clouds,-1.195,-46.02,Lidera
111,Hithadhoo,MV,83.39,broken clouds,-0.6,73.0833,Scoop Guest House
115,Lashio,MM,80.65,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
116,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
125,Mount Gambier,AU,80.6,clear sky,-37.8333,140.7667,Commodore on the Park
127,Davila,PH,80.6,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
133,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
138,Bengkulu,ID,86.31,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
147,Ntoum,GA,75.2,scattered clouds,0.3833,9.7833,Hôtel Santa Barbara
148,Sao Joao Da Barra,BR,75.54,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
154,Mecca,SA,75.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
163,Port Blair,IN,84.16,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
164,Alofi,NU,82.4,moderate rain,-19.0595,-169.9187,Taloa Heights
166,Port Lincoln,AU,75.61,clear sky,-34.7333,135.8667,Port Lincoln Hotel
170,Meulaboh,ID,85.98,few clouds,4.1363,96.1285,Kost Pria
177,Iracoubo,GF,77.31,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
181,Kalghatgi,IN,78.8,clear sky,15.1833,74.9667,Hotel Aishwarya Residency
186,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
188,Namatanai,PG,83.07,light rain,-3.6667,152.4333,Namatanai Hotel
195,Bundaberg,AU,77.0,overcast clouds,-24.85,152.35,Takalvan Motel
200,Bartica,GY,75.2,scattered clouds,6.4,-58.6167,Relax Inn Hotel
204,Grand Gaube,MU,82.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
205,Cockburn Town,TC,76.87,clear sky,21.4612,-71.1419,Osprey Beach Hotel
206,Ratnagiri,IN,83.3,overcast clouds,16.9833,73.3,Hotel Landmark
211,Samarai,PG,82.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
212,Bambous Virieux,MU,82.99,few clouds,-20.3428,57.7575,Casa Tia Villa
214,Tutoia,BR,79.86,scattered clouds,-2.7619,-42.2744,Pousada Guará's
230,Charters Towers,AU,85.44,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
231,Cap Malheureux,MU,82.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
233,Pundaguitan,PH,81.41,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
235,Antalaha,MG,84.49,few clouds,-14.9003,50.2788,Hotel Vitasoa
241,Iquitos,PE,75.2,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
243,Jerantut,MY,81.43,broken clouds,3.9360000000000004,102.3626,Jerantut Hill Resort
245,Angoche,MZ,85.5,broken clouds,-16.2325,39.9086,Guest House HESADA
247,Akyab,MM,82.11,clear sky,20.15,92.9,Hotel Memory
248,Tura,IN,79.02,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
253,Jizan,SA,75.2,few clouds,17.3333,42.6667,شهدان. ابوالحجر
254,Poum,NC,83.57,broken clouds,-20.2333,164.0167,Gîte kajeon
255,Warri,NG,76.84,overcast clouds,5.5167,5.75,BON Hotel Delta
257,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
259,Quatre Cocos,MU,82.99,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
263,Gouyave,GD,78.8,few clouds,12.1646,-61.7296,Rumboat Retreat
265,Candido Mendes,BR,77.49,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
266,Sola,VU,84.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
268,Kyaikkami,MM,86.27,scattered clouds,16.08,97.5675,Happy Family Kyaikkami
271,Alice Springs,AU,89.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
275,Labuhan,ID,79.92,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
279,Quelimane,MZ,84.2,few clouds,-17.8786,36.8883,Hotel Flamingo
280,Mahishadal,IN,87.21,scattered clouds,22.1833,87.9833,Mishra machinery
287,Ugoofaaru,MV,81.97,scattered clouds,5.6667,73.0,Ungoofaaru Inn
289,Mackay,AU,80.6,overcast clouds,-21.15,149.2,International Lodge Motel
295,Tete,MZ,80.6,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
297,Neiafu,TO,78.8,broken clouds,-18.65,-173.9833,Mystic Sands
302,Mahebourg,MU,82.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
310,Morondava,MG,84.61,scattered clouds,-20.2833,44.2833,La Case Bambou
311,Ternate,ID,84.06,light rain,0.8,127.4,Grand Dafam Bela Ternate
313,Kavaratti,IN,82.4,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
316,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
318,Inhambane,MZ,80.6,scattered clouds,-23.865,35.3833,Oceano
322,Richards Bay,ZA,78.17,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
326,Acarau,BR,81.16,broken clouds,-2.8856,-40.12,castelo pizzaria
328,Christiana,ZA,77.81,clear sky,-27.914,25.1611,At-Neli Guesthouse
334,Salinopolis,BR,79.65,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
338,Makakilo City,US,77.0,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
360,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
366,Kuching,MY,86.0,broken clouds,1.55,110.3333,Hilton Kuching
371,Maragogi,BR,76.33,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
375,Port Moresby,PG,89.6,light rain,-9.4431,147.1797,Lamana Hotel
378,Souillac,MU,82.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
379,Teluk Nibung,ID,83.39,scattered clouds,3.0010000000000003,99.8164,Hotel Assyifa
380,San Policarpo,PH,78.71,overcast clouds,12.1791,125.5072,JM Lodge
384,Faanui,PF,81.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
388,Kalmunai,LK,83.08,light rain,7.4167,81.8167,VS Villa
398,Sambava,MG,83.12,few clouds,-14.2667,50.1667,Melrose
