City_ID,Date,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,2021-01-08 05:34:58,Kapaa,US,22.0752,-159.319,73.4,78,40,3.44,scattered clouds
1,2021-01-08 05:34:58,Rezina,MD,47.7492,28.9622,32.47,92,100,4.38,overcast clouds
2,2021-01-08 05:34:59,Jamestown,US,42.097,-79.2353,25.0,93,90,5.75,overcast clouds
3,2021-01-08 05:34:59,Albany,US,42.6001,-73.9662,26.01,75,17,6.13,few clouds
4,2021-01-08 05:34:59,Pryazha,RU,61.6926,33.6216,15.8,92,90,4.47,light snow
5,2021-01-08 05:34:59,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,broken clouds
6,2021-01-08 05:35:00,Luhyny,UA,51.082,28.4006,32.14,95,100,13.27,overcast clouds
7,2021-01-08 05:35:00,Hobyo,SO,5.3505,48.5268,77.22,62,8,23.69,clear sky
8,2021-01-08 05:35:00,Norman Wells,CA,65.282,-126.8329,-5.8,77,1,4.61,clear sky
9,2021-01-08 05:35:01,Carnarvon,AU,-24.8667,113.6333,91.4,55,24,16.11,few clouds
10,2021-01-08 05:35:01,Ilulissat,GL,69.2167,-51.1,12.2,79,90,19.57,light snow
11,2021-01-08 05:35:01,Vostok,RU,46.4856,135.8833,-15.38,81,100,3.91,overcast clouds
12,2021-01-08 05:35:04,Porto Walter,BR,-8.2686,-72.7439,69.69,96,65,1.1,broken clouds
13,2021-01-08 05:35:04,Narsaq,GL,60.9167,-46.05,35.6,93,90,4.61,drizzle
14,2021-01-08 05:35:04,Rawson,AR,-43.3002,-65.1023,58.23,60,0,9.46,clear sky
15,2021-01-08 05:35:05,Elko,US,41.0002,-115.5012,28.4,80,1,4.61,clear sky
16,2021-01-08 05:35:05,Lugoba,TZ,-6.45,38.3333,78.57,75,76,7.25,broken clouds
17,2021-01-08 05:35:05,Saint-Augustin,CA,51.226,-58.6502,42.44,84,100,22.57,light rain
18,2021-01-08 05:35:06,Tasiilaq,GL,65.6145,-37.6368,15.8,62,23,34.52,light snow
19,2021-01-08 05:32:45,Bethel,US,41.3712,-73.414,26.6,74,1,4.61,clear sky
20,2021-01-08 05:35:06,Tecpan,GT,14.7623,-90.9947,63.0,88,75,9.22,broken clouds
21,2021-01-08 05:35:06,Bluff,NZ,-46.6,168.3333,61.0,63,63,13.0,broken clouds
22,2021-01-08 05:30:07,Fort Nelson,CA,58.8053,-122.7002,-2.2,78,20,4.61,few clouds
23,2021-01-08 05:35:07,Georgetown,MY,5.4112,100.3354,88.0,62,20,6.91,few clouds
24,2021-01-08 05:32:18,Baglung,NP,28.2719,83.5898,72.88,21,84,5.23,broken clouds
25,2021-01-08 05:35:07,Saint-Pierre,RE,-21.3393,55.4781,82.4,65,0,20.71,clear sky
26,2021-01-08 05:35:08,Stornoway,GB,58.2093,-6.3865,30.0,93,40,6.91,scattered clouds
27,2021-01-08 05:35:00,Santa Fe,AR,-31.6333,-60.7,73.99,43,0,5.64,clear sky
28,2021-01-08 05:35:08,Mar Del Plata,AR,-38.0023,-57.5575,64.0,82,90,4.61,overcast clouds
29,2021-01-08 05:35:08,Hasaki,JP,35.7333,140.8333,46.0,22,40,10.36,scattered clouds
30,2021-01-08 05:35:09,Kavieng,PG,-2.5744,150.7967,84.13,75,100,15.66,moderate rain
31,2021-01-08 05:35:09,Chokurdakh,RU,70.6333,147.9167,-13.05,90,96,7.07,overcast clouds
32,2021-01-08 05:35:10,New Norfolk,AU,-42.7826,147.0587,75.0,37,1,3.0,clear sky
33,2021-01-08 05:35:10,Puerto Ayora,EC,-0.7393,-90.3518,72.0,95,56,6.91,broken clouds
34,2021-01-08 05:35:05,Barrow,US,71.2906,-156.7887,-9.4,77,20,4.61,few clouds
35,2021-01-08 05:32:09,Hobart,AU,-42.8794,147.3294,73.99,55,20,19.57,few clouds
36,2021-01-08 05:35:11,Kangaatsiaq,GL,68.3065,-53.4641,4.03,94,98,6.06,overcast clouds
37,2021-01-08 05:33:59,Maunabo,PR,18.0072,-65.8993,72.0,92,1,8.12,clear sky
38,2021-01-08 05:35:11,Rikitea,PF,-23.1203,-134.9692,78.6,68,84,1.25,broken clouds
39,2021-01-08 05:31:33,Maryville,US,35.7565,-83.9705,39.0,93,90,5.75,light rain
40,2021-01-08 05:35:12,Alta Floresta,BR,-9.8756,-56.0861,74.64,77,96,1.34,overcast clouds
41,2021-01-08 05:35:12,Moerai,PF,-22.4333,-151.3333,78.75,76,44,14.45,scattered clouds
42,2021-01-08 05:35:13,Marienburg,PL,54.0359,19.0266,30.99,100,99,7.16,overcast clouds
43,2021-01-08 05:35:13,Port Alfred,ZA,-33.5906,26.891,71.01,89,46,8.01,scattered clouds
44,2021-01-08 05:35:13,Ushuaia,AR,-54.8,-68.3,51.8,58,75,3.44,light rain
45,2021-01-08 05:30:51,Hilo,US,19.7297,-155.09,71.6,78,1,4.61,clear sky
46,2021-01-08 05:35:14,Bredasdorp,ZA,-34.5322,20.0403,68.0,68,60,2.3,broken clouds
47,2021-01-08 05:35:14,Avera,US,33.194,-82.5271,44.6,94,90,9.22,overcast clouds
48,2021-01-08 05:35:14,Havoysund,NO,70.9963,24.6622,23.0,63,0,28.77,clear sky
49,2021-01-08 05:35:15,Svetlogorsk,BY,52.6333,29.7333,32.41,98,100,12.86,snow
50,2021-01-08 05:35:15,Upernavik,GL,72.7868,-56.1549,-4.58,91,78,7.34,broken clouds
51,2021-01-08 05:35:15,Prince Rupert,CA,54.3161,-130.3201,48.2,49,40,8.05,scattered clouds
52,2021-01-08 05:35:16,Saskylakh,RU,71.9167,114.0833,-25.38,85,89,6.51,overcast clouds
53,2021-01-08 05:32:00,East London,ZA,-33.0153,27.9116,69.8,88,20,13.8,few clouds
54,2021-01-08 05:35:16,Mingaora,PK,34.7758,72.3625,54.16,36,89,2.24,overcast clouds
55,2021-01-08 05:35:17,Ruyigi,BI,-3.45,30.3167,65.28,88,10,2.51,clear sky
56,2021-01-08 05:35:17,Busselton,AU,-33.65,115.3333,104.0,15,31,5.01,scattered clouds
57,2021-01-08 05:35:17,Barabash,RU,43.2,131.4833,-2.2,35,0,15.66,clear sky
58,2021-01-08 05:35:18,Wanning,CN,18.8003,110.3967,57.67,82,100,17.6,overcast clouds
59,2021-01-08 05:35:18,Kaitangata,NZ,-46.2817,169.8464,59.0,63,71,13.0,broken clouds
60,2021-01-08 05:35:18,Ribeira Grande,PT,38.5167,-28.7,56.84,67,3,16.67,clear sky
61,2021-01-08 05:35:18,Coahuayana,MX,18.7333,-103.6833,69.48,73,69,2.84,broken clouds
62,2021-01-08 05:35:19,Shimanovsk,RU,52.0,127.7,-13.68,85,100,3.2,overcast clouds
63,2021-01-08 05:35:19,Yellowknife,CA,62.456,-114.3525,-2.99,84,1,5.75,clear sky
64,2021-01-08 05:35:19,Arraial Do Cabo,BR,-22.9661,-42.0278,75.51,93,83,9.35,broken clouds
65,2021-01-08 05:35:20,Ngunguru,NZ,-35.6167,174.5,66.88,88,78,8.32,broken clouds
66,2021-01-08 05:35:20,Senador Canedo,BR,-16.7081,-49.0931,68.0,94,0,4.61,clear sky
67,2021-01-08 05:35:20,Isiro,CD,2.7739,27.616,73.98,53,38,0.96,scattered clouds
68,2021-01-08 05:34:05,Geraldton,AU,-28.7667,114.6,98.6,15,35,14.97,scattered clouds
69,2021-01-08 05:35:21,Nioro,GM,13.35,-15.75,66.72,39,4,4.32,clear sky
70,2021-01-08 05:35:21,Manzhouli,CN,49.6,117.4333,-4.72,80,6,15.17,clear sky
71,2021-01-08 05:35:22,Castro,BR,-24.7911,-50.0119,64.2,98,100,3.27,overcast clouds
72,2021-01-08 05:35:22,Shache,CN,38.4167,77.2406,20.44,84,32,4.5,scattered clouds
73,2021-01-08 05:35:23,Dingle,PH,10.9995,122.6711,78.91,89,100,14.41,overcast clouds
74,2021-01-08 05:35:23,Nikolskoye,RU,59.7035,30.7861,24.8,86,75,11.18,broken clouds
75,2021-01-08 05:35:24,Coihaique,CL,-45.5752,-72.0662,51.8,58,0,6.91,clear sky
76,2021-01-08 05:35:24,Tarquinia,IT,42.2482,11.7553,41.0,79,94,1.01,overcast clouds
77,2021-01-08 05:35:24,Lixourion,GR,38.2019,20.4314,61.7,85,76,18.79,broken clouds
78,2021-01-08 05:35:25,Caravelas,BR,-17.7125,-39.2481,74.17,91,91,6.4,overcast clouds
79,2021-01-08 05:35:25,Semporna,MY,4.4818,118.6112,86.0,74,40,9.22,light rain
80,2021-01-08 05:32:40,Cape Town,ZA,-33.9258,18.4232,69.01,68,0,17.27,clear sky
81,2021-01-08 05:31:31,Hermanus,ZA,-34.4187,19.2345,72.0,69,68,1.01,broken clouds
82,2021-01-08 05:35:25,Umm Lajj,SA,25.0213,37.2685,77.29,41,0,14.79,clear sky
83,2021-01-08 05:32:19,Punta Arenas,CL,-53.15,-70.9167,48.2,76,90,16.11,light rain
84,2021-01-08 05:35:26,Qaanaaq,GL,77.484,-69.3632,-9.08,84,100,14.79,overcast clouds
85,2021-01-08 05:35:27,Dikson,RU,73.5069,80.5464,-0.45,93,100,16.06,overcast clouds
86,2021-01-08 05:35:27,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,0,20.71,clear sky
87,2021-01-08 05:35:27,Qurayyat,SA,31.3318,37.3428,39.2,81,0,6.8,clear sky
88,2021-01-08 05:35:28,Butaritari,KI,3.0707,172.7902,81.21,82,79,20.24,broken clouds
89,2021-01-08 05:35:28,Avarua,CK,-21.2078,-159.775,80.6,74,20,9.22,few clouds
90,2021-01-08 05:32:14,Thompson,CA,55.7435,-97.8558,17.6,93,1,3.44,clear sky
91,2021-01-08 05:35:28,Raymond Terrace,AU,-32.75,151.75,73.99,49,34,19.57,scattered clouds
92,2021-01-08 05:35:29,Pevek,RU,69.7008,170.3133,-10.46,91,100,3.33,overcast clouds
93,2021-01-08 05:35:29,Tiksi,RU,71.6872,128.8694,-15.9,88,100,15.5,overcast clouds
94,2021-01-08 05:31:29,Glendive,US,47.1053,-104.7125,32.0,86,90,8.05,snow
95,2021-01-08 05:35:29,Iwanai,JP,42.9744,140.5089,18.59,90,100,16.71,light snow
96,2021-01-08 05:35:30,Solnechnyy,RU,50.7214,136.6319,-11.74,84,82,4.21,broken clouds
97,2021-01-08 05:35:30,Kristiansund,NO,63.1115,7.732,28.4,64,20,4.61,few clouds
98,2021-01-08 05:35:30,Mataura,NZ,-46.1927,168.8643,61.0,63,84,13.0,broken clouds
99,2021-01-08 05:35:30,Itako,JP,35.9333,140.55,46.0,22,40,10.36,scattered clouds
