City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2021-01-04 02:45:33,5.41,100.34,77.0,88,20,4.7
1,New Norfolk,AU,2021-01-04 02:45:33,-42.78,147.06,69.01,53,93,3.0
2,Chokurdakh,RU,2021-01-04 02:45:33,70.63,147.92,-27.85,86,79,5.91
3,Mataura,NZ,2021-01-04 02:43:03,-46.19,168.86,62.01,71,85,11.01
4,Airai,TL,2021-01-04 02:45:33,-8.93,125.41,73.02,83,78,2.17
5,Albany,US,2021-01-04 02:45:34,42.6,-73.97,33.01,86,100,3.47
6,Lithakia,GR,2021-01-04 02:45:34,37.72,20.83,57.2,87,100,11.41
7,Broome,US,2021-01-04 02:45:34,42.25,-75.83,32.0,92,90,1.45
8,Rikitea,PF,2021-01-04 02:45:35,-23.12,-134.97,78.1,80,2,16.98
9,Chuy,UY,2021-01-04 02:45:35,-33.7,-53.46,68.13,88,0,9.71
10,Tuktoyaktuk,CA,2021-01-04 02:45:35,69.45,-133.04,-5.8,76,75,3.36
11,Punta Arenas,CL,2021-01-04 02:45:35,-53.15,-70.92,44.6,75,42,10.29
12,Tiksi,RU,2021-01-04 02:45:36,71.69,128.87,-18.54,81,7,4.56
13,Hobart,AU,2021-01-04 02:45:36,-42.88,147.33,66.0,63,75,6.93
14,Kahului,US,2021-01-04 02:43:06,20.89,-156.47,80.6,54,1,24.16
15,Saint-Georges,GD,2021-01-04 02:45:36,12.06,-61.75,75.2,88,40,14.94
16,Puerto Ayora,EC,2021-01-04 02:44:02,-0.74,-90.35,73.0,92,16,6.2
17,Anahuac,MX,2021-01-04 02:45:37,27.23,-100.15,59.0,47,5,8.59
18,Thompson,CA,2021-01-04 02:42:47,55.74,-97.86,5.0,84,90,6.93
19,Tateyama,JP,2021-01-04 02:45:37,34.98,139.87,51.8,62,40,2.24
20,Hermanus,ZA,2021-01-04 02:45:38,-34.42,19.23,71.01,85,63,4.0
21,Iskateley,RU,2021-01-04 02:45:38,67.68,53.15,-3.78,91,0,8.95
22,Quatre Cocos,MU,2021-01-04 02:45:38,-20.21,57.76,73.99,94,75,8.05
23,Henties Bay,NA,2021-01-04 02:45:39,-22.12,14.28,68.0,87,88,6.04
24,Butaritari,KI,2021-01-04 02:45:39,3.07,172.79,81.91,80,98,19.04
25,Bredasdorp,ZA,2021-01-04 02:45:39,-34.53,20.04,69.8,88,73,10.29
26,Chifeng,CN,2021-01-04 02:45:40,42.27,118.96,0.5,82,0,5.99
27,Mar Del Plata,AR,2021-01-04 02:42:25,-38.0,-57.56,71.6,68,0,6.93
28,Vallenar,CL,2021-01-04 02:45:40,-28.57,-70.76,64.17,64,0,1.57
29,Arraial Do Cabo,BR,2021-01-04 02:45:41,-22.97,-42.03,73.47,90,97,9.44
30,Cam Ranh,VN,2021-01-04 02:45:41,11.92,109.16,75.2,94,75,14.99
31,Constitucion,CL,2021-01-04 02:45:41,-35.33,-72.42,58.64,71,0,15.35
32,Thabazimbi,ZA,2021-01-04 02:45:41,-24.59,27.41,61.0,95,17,5.19
33,Avarua,CK,2021-01-04 02:45:42,-21.21,-159.78,84.2,70,37,17.22
34,Kapaa,US,2021-01-04 02:43:00,22.08,-159.32,78.8,65,90,13.87
35,Guilin,CN,2021-01-04 02:45:42,25.28,110.29,48.2,61,0,2.24
36,Hasaki,JP,2021-01-04 02:45:42,35.73,140.83,50.0,42,75,3.36
37,Khatanga,RU,2021-01-04 02:43:50,71.97,102.5,-1.97,92,100,10.85
38,Rio Gallegos,AR,2021-01-04 02:45:43,-51.62,-69.22,50.0,39,0,23.04
39,Pilar,BR,2021-01-04 02:45:43,-9.6,-35.96,73.4,94,20,4.7
40,Ovre Ardal,NO,2021-01-04 02:45:44,61.32,7.8,15.64,63,41,3.13
41,Lebu,CL,2021-01-04 02:45:44,-37.62,-73.65,55.45,73,0,22.53
42,Yurino,RU,2021-01-04 02:45:44,56.29,46.3,28.4,100,90,8.95
43,Chirongui,YT,2021-01-04 02:45:45,-12.93,45.15,78.8,88,75,10.29
44,Srednekolymsk,RU,2021-01-04 02:45:45,67.45,153.68,-17.64,88,100,5.17
45,Dwarka,IN,2021-01-04 02:45:45,22.24,68.97,66.27,49,0,15.19
46,Sairang,IN,2021-01-04 02:45:46,23.8,92.67,60.8,87,78,6.93
47,Stolin,BY,2021-01-04 02:45:46,51.89,26.85,39.34,95,99,6.04
48,Inyonga,TZ,2021-01-04 02:45:46,-6.72,32.07,64.06,97,100,2.86
49,Esperance,AU,2021-01-04 02:45:47,-33.87,121.9,68.0,45,90,11.41
50,Antalaha,MG,2021-01-04 02:41:26,-14.9,50.28,71.08,84,54,7.31
51,Karasburg,NA,2021-01-04 02:45:47,-28.02,18.75,68.36,78,87,11.27
52,Kaseda,JP,2021-01-04 02:45:47,31.42,130.32,50.0,57,20,2.24
53,Sovetskiy,RU,2021-01-04 02:45:47,61.36,63.58,-11.42,90,100,5.57
54,Ust-Ishim,RU,2021-01-04 02:45:48,57.69,71.17,-21.59,85,95,7.58
55,Narsaq,GL,2021-01-04 02:45:48,60.92,-46.05,23.0,79,100,8.75
56,Nikolskoye,RU,2021-01-04 02:45:48,59.7,30.79,27.0,92,90,2.24
57,Bengkulu,ID,2021-01-04 02:45:48,-3.8,102.27,83.16,60,37,4.92
58,Port Elizabeth,ZA,2021-01-04 02:45:49,-33.92,25.57,71.6,94,90,8.05
59,Busselton,AU,2021-01-04 02:45:49,-33.65,115.33,75.0,46,0,8.99
60,Saint-Philippe,RE,2021-01-04 02:45:49,-21.36,55.77,77.0,73,0,16.11
61,Salisbury,GB,2021-01-04 02:43:02,51.07,-1.8,37.4,86,75,13.87
62,Liberal,US,2021-01-04 02:42:05,37.04,-100.92,37.4,47,1,11.41
63,Bethel,US,2021-01-04 02:43:31,41.37,-73.41,32.0,95,90,8.05
64,Upernavik,GL,2021-01-04 02:44:50,72.79,-56.15,12.67,93,100,6.55
65,Atuona,PF,2021-01-04 02:45:50,-9.8,-139.03,78.28,77,100,16.49
66,Mildura,AU,2021-01-04 02:45:50,-34.2,142.15,78.8,39,86,12.75
67,Kruisfontein,ZA,2021-01-04 02:43:33,-34.0,24.73,69.01,92,71,1.01
68,Bambous Virieux,MU,2021-01-04 02:45:51,-20.34,57.76,73.99,94,75,8.05
